"city","country","pop2023","latitude","longitude"
"Amarnath","India",217780,19.2,73.1667
"Tanjore","India",219571,10.7852,79.1391
"Dhanbad","India",219636,23.802,86.4432
"Kharagpur","India",219665,22.3397,87.325
"Mirzapur","India",220029,25.1449,82.5653
"Gosaba","India",222764,22.1655,88.8007
"Imphal","India",223523,24.8081,93.9442
"Arrah","India",223676,25.5563,84.6634
"Karnal","India",225049,29.692,76.9845
"Quthbullapur","India",225816,17.5011,78.4582
"Raichur","India",225962,16.2055,77.3557
"Shrirampur","India",226317,22.7528,88.3422
"Puducherry","India",227411,11.9338,79.8298
"Karimnagar","India",228745,18.4391,79.1286
"Bharatpur","India",229384,27.2173,77.4901
"Ganganagar","India",231838,29.9201,73.875
"Ramagundam","India",235000,18.755,79.474
"Ratlam","India",236843,23.3303,75.0403
"Barasat","India",237783,22.2252,88.4509
"Anantapur","India",240442,14.6778,77.6081
"Farrukhabad","India",241152,27.3913,79.5793
"Bathinda","India",242800,30.2075,74.9389
"Hapur","India",242920,28.7299,77.7807
"Bihar Sharif","India",244230,25.2008,85.5239
"Mau","India",246050,25.9417,83.5611
"Saugor","India",247333,23.8388,78.7387
"Tiruvottiyur","India",248059,13.1582,80.3018
"Avadi","India",250044,13.1147,80.1098
"Sonipat","India",250521,28.9948,77.0194
"Tirupati","India",250821,13.6355,79.4199
"Naihati","India",253221,22.894,88.4152
"Durg","India",255283,21.1915,81.2762
"Etawah","India",257448,26.7761,79.0213
"Satna","India",257778,24.5773,80.8272
"Gajuwaka","India",258944,17.7,83.2167
"Baranagar","India",260072,22.6413,88.3773
"Dewas","India",261218,22.9659,76.0553
"Lal Bahadur Nagar","India",261987,17.3477,78.5576
"Jalna","India",262034,19.841,75.8864
"Aizawl","India",265331,23.7289,92.7179
"Bijapur","India",271064,16.8244,75.7154
"Ichalkaranji","India",274383,16.6912,74.4605
"Bilaspur","India",282705,22.08,82.1554
"Alwar","India",283228,27.5625,76.625
"Darbhanga","India",287150,26.1522,85.8971
"Parbhani","India",289629,19.2686,76.7708
"Panipat","India",292808,29.3875,76.9682
"Kakinada","India",292923,16.9604,82.2381
"Greater Noida","India",293908,28.4961,77.536
"Noida","India",293908,28.58,77.33
"Rampur","India",296418,28.8101,79.027
"Hisar","India",296436,29.1539,75.7229
"Bali","India",296973,22.6486,88.3411
"Barasat","India",298127,22.7215,88.482
"Barddhaman","India",301725,23.2557,87.8569
"Rajahmundry","India",304804,17.0052,81.7778
"Kulti","India",305405,23.7317,86.8437
"Nizamabad","India",305438,18.6715,78.0988
"Firozabad","India",306409,27.1509,78.3978
"Tumkur","India",307359,13.3414,77.1022
"Rohtak","India",317245,28.8945,76.5892
"New Delhi","India",317797,28.6358,77.2244
"Shimoga","India",319550,13.9316,75.5679
"Shahjanpur","India",320434,27.8817,79.9092
"Brahmapur","India",324726,19.3115,84.7929
"Trichur","India",325110,10.5167,76.2167
"Bhilwara","India",326431,25.3471,74.6408
"Chanda","India",328351,19.9508,79.2952
"Patiala","India",329224,30.3363,76.3922
"Mathura","India",330511,27.5035,77.6721
"Kamarhati","India",332965,22.6711,88.3747
"Muzaffarpur","India",333200,26.1226,85.3905
"Bellary","India",336681,15.142,76.924
"Ambattur","India",341049,13.0982,80.1615
"Kukatpalli","India",341709,17.4849,78.4138
"Latur","India",348967,18.3972,76.5678
"Muzaffarnagar","India",349706,29.4709,77.7033
"Punasa","India",350000,22.2351,76.3933
"Bhagalpur","India",361548,25.2445,86.9718
"Dhulia","India",366980,20.9013,74.7774
"Ahmadnagar","India",367140,19.0946,74.7384
"Panihati","India",378705,22.6909,88.374
"Kollam","India",394163,8.88113,76.5847
"Tiruppur","India",397521,11.1154,77.3546
"Nellore","India",404158,14.4499,79.987
"Thoothukudi","India",410760,8.76735,78.1342
"Jhansi","India",412927,25.4589,78.5799
"Mangalore","India",417387,12.9172,74.856
"Bokaro","India",418533,23.7871,85.9564
"Korba","India",419146,22.3458,82.6963
"Udaipur","India",422784,24.5858,73.7135
"Gaya","India",423692,24.7969,85.0039
"Belgaum","India",428720,15.8521,74.5045
"Akola","India",428857,20.7096,76.9981
"Jalgaon","India",429298,21.0029,75.566
"Davangere","India",435128,14.4669,75.9269
"Malegaon","India",435362,20.5497,74.5346
"Kozhikode","India",439922,11.248,75.7804
"Nangi","India",440894,22.5083,88.2153
"Shyamnagar","India",441956,22.8333,88.3667
"Ramgundam","India",452261,18.8008,79.4521
"Ujjain","India",457346,23.1824,75.7764
"Kurnool","India",460184,15.8289,78.036
"Jammu","India",465567,32.7357,74.8691
"Bhatpara","India",483129,22.8664,88.4011
"Gulbarga","India",483615,17.3358,76.8376
"Saharanpur","India",484873,29.9679,77.5452
"Jamnagar","India",492056,22.4729,70.0667
